Date,Close,Open,High,Low,Vol-Million,Change %
"Mar 20, 2018",1164.55,1148.6,1170,1148.6,4.28,0.02
"Mar 19, 2018",1146.75,1164,1180.5,1142.65,3.76,-0.02
"Mar 16, 2018",1171.9,1182,1182.4,1169.25,8.98,-0.01
"Mar 15, 2018",1182.5,1180,1188.4,1172,3.05,0.00
"Mar 14, 2018",1180.8,1180,1190.6,1169.1,2.21,0.00
"Mar 13, 2018",1183.8,1180.2,1197,1175.15,4.29,0.00
"Mar 12, 2018",1185.75,1176,1191.85,1171.75,3.84,0.02
"Mar 09, 2018",1163.4,1162.35,1166,1155.55,2.11,0.01
"Mar 08, 2018",1156.65,1149,1165.8,1149,3.05,0.01
"Mar 07, 2018",1144.1,1155,1160,1138.05,3.19,-0.01
"Mar 06, 2018",1151.35,1162.55,1165.4,1143.6,3.34,0.00
"Mar 05, 2018",1155.9,1160.75,1170.8,1143.25,4.05,0.00
"Mar 01, 2018",1160.75,1169.6,1169.6,1156.05,3.29,-0.01
"Feb 28, 2018",1172.6,1147.6,1189.5,1142.55,8.63,0.02
"Feb 27, 2018",1150.2,1144.95,1153.65,1125.65,3.31,0.01
"Feb 26, 2018",1138.6,1151,1155.05,1134.35,2.54,-0.01
"Feb 23, 2018",1155.65,1163.5,1166,1146.75,4.73,0.00
"Feb 22, 2018",1160.75,1145.55,1164,1140.45,8.93,0.01
"Feb 21, 2018",1147.4,1147.5,1151.9,1140,6.89,0.01
"Feb 20, 2018",1136.95,1103.75,1149.5,1103.75,3.59,0.00
"Feb 19, 2018",1131.75,1128.4,1136,1120.3,3.23,0.00
"Feb 16, 2018",1128.05,1125,1141.65,1118.1,4.94,0.01
"Feb 15, 2018",1114.45,1103,1129.7,1103,3.99,0.02
"Feb 14, 2018",1097.75,1106,1117.3,1090.2,4.17,0.00
"Feb 12, 2018",1102.8,1114.8,1120.6,1097.8,3.15,-0.01
"Feb 09, 2018",1109.15,1118,1120.3,1106,2.19,-0.02
"Feb 08, 2018",1134.25,1122.8,1146.4,1116.55,4.4,0.02
"Feb 07, 2018",1109.05,1116,1124.8,1103.55,4.17,0.00
"Feb 06, 2018",1107.75,1099.95,1128.35,1095.15,5.28,-0.03
"Feb 05, 2018",1138.2,1140,1154.85,1135.85,4.93,0.00
"Feb 02, 2018",1143.25,1135.25,1162.9,1130.1,5.12,0.00
"Feb 01, 2018",1144.6,1142.2,1157.9,1118.55,6.5,0.00
"Jan 31, 2018",1150.25,1159.15,1166.6,1142.15,4.61,-0.02
"Jan 30, 2018",1170.65,1178.9,1183.1,1162.7,4.31,-0.01
"Jan 29, 2018",1182.9,1166.55,1196.25,1165.2,5.41,0.01
"Jan 25, 2018",1175.4,1182,1183.4,1162.25,6.77,-0.01
"Jan 24, 2018",1185.8,1174.8,1221.05,1167.5,10.3,0.01
"Jan 23, 2018",1177.1,1155,1188,1155,7.7,0.02
"Jan 22, 2018",1150,1132.15,1156.95,1132,4.83,0.01
"Jan 19, 2018",1143.45,1145,1147.9,1136,2.99,-0.01
"Jan 18, 2018",1152.7,1145,1164.9,1132.1,6.6,0.00
"Jan 17, 2018",1152.1,1124.85,1161.8,1123,13.08,0.03
"Jan 16, 2018",1122.85,1081.25,1134.8,1081.25,11.32,0.04
"Jan 15, 2018",1081.15,1080,1092.95,1065.1,5.32,0.00
